Pressure,Power,z,y,V
0.50,5.00,2.00,161,11
0.50,5.00,4.00,146,-4
0.50,5.00,6.00,124,-26
0.50,25.00,2.00,165,15
0.50,25.00,4.00,136,-14
0.50,25.00,6.00,94,-56
1.00,5.00,2.00,158,8
1.00,5.00,4.00,138,-12
1.00,5.00,6.00,105,-45
1.00,25.00,2.00,155,5
1.00,25.00,4.00,115,-35
1.00,25.00,6.00,55,-95
1.50,5.00,2.00,156,6
1.50,5.00,4.00,131,-19
1.50,5.00,6.00,92,-58
1.50,25.00,2.00,150,0
1.50,25.00,4.00,99,-51
1.50,25.00,6.00,25,-125
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
